SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Number
20MICRONS,EQ,27.1,27.5,26.05,27.35,27.5,27.1,26050,703092.95,29-Oct-20,342,INE144J01027,1
21STCENMGM,EQ,9.65,9.8,9.65,9.8,9.8,9.8,257,2496.9,29-Oct-20,9,INE253B01015,2
3IINFOTECH,EQ,3.05,3.05,2.95,2.95,2.95,3,1689748,5062276.5,29-Oct-20,1812,INE748C01020,3
3MINDIA,EQ,18487.8,18860,18390,18717.75,18700,18487.8,2682,49720944,29-Oct-20,2049,INE470A01017,4
5PAISA,BE,328,334.75,320.05,323.2,326,332.9,9859,3213691.95,29-Oct-20,215,INE618L01018,5
63MOONS,EQ,72,76,66.4,70.75,71.25,72.65,26464,1880326.7,29-Oct-20,698,INE111B01023,6
716GS2050,GS,111.35,111.35,111.3,111.3,111.3,111.4,186,20708.6,29-Oct-20,2,IN0020200054,7
719GS2060,GS,111,116.55,111,116.55,116.55,111,51,5666.55,29-Oct-20,2,IN0020200039,8
726GS2029,GS,105,105,105,105,105,105,100,10500,29-Oct-20,1,IN0020180454,9
769GS2043,GS,115,115,115,115,115,119.9,116,13340,29-Oct-20,1,IN0020190040,10
817GS2044,GS,113,113,113,113,113,108,4,452,29-Oct-20,1,IN0020140078,11
832GS2032,GS,113.5,113.5,113.5,113.5,113.5,108.15,1,113.5,29-Oct-20,1,IN0020070044,12
8KMILES,BE,83.1,88.75,83.1,83.3,83.1,87.45,90550,7599655,29-Oct-20,947,INE650K01021,13
A2ZINFRA,EQ,3.8,3.85,3.7,3.8,3.8,3.85,128144,485597.3,29-Oct-20,108,INE619I01012,14
AAATECH,SM,42.6,42.75,42.4,42.75,42.75,42.75,18000,767850,29-Oct-20,4,INE0D0U01013,15
AAKASH,EQ,52,52.45,51,51.45,51,51.65,49884,2559711.15,29-Oct-20,225,INE087Z01016,16
AARON,SM,27.25,27.25,27.25,27.25,27.25,27.25,6300,171675,29-Oct-20,1,INE721Z01010,17
AARTIDRUGS,EQ,630,675.5,615.65,675.5,675.5,643.35,3114810,2026075920,29-Oct-20,111252,INE767A01016,18
AARTIIND,EQ,1000,1020.05,990.05,1012.95,1014,1009.6,105368,106370304.8,29-Oct-20,8297,INE769A01020,19
AARTISURF,BE,525.05,556.8,525,556.8,556.8,530.3,8940,4925912.35,29-Oct-20,244,INE09EO01013,20
AARVEEDEN,EQ,10.8,10.8,10.05,10.35,10.35,10.8,13401,141310.55,29-Oct-20,72,INE273D01019,21
AARVI,EQ,37.95,37.95,35.85,37,37,35.85,588,21828.65,29-Oct-20,14,INE754X01016,22
AAVAS,EQ,1455,1479.75,1436.15,1465.85,1465,1465.75,13499,19607398.3,29-Oct-20,1982,INE216P01012,23
ABAN,EQ,22.45,23.3,22.2,22.55,22.75,22.55,44519,1000238.2,29-Oct-20,408,INE421A01028,24
ABB,EQ,900,900,882,886.8,886.1,907.05,156263,139119598.2,29-Oct-20,5205,INE117A01022,25
ABBOTINDIA,EQ,15320,15320,15125,15159.9,15200,15327.05,10799,164183019.6,29-Oct-20,4765,INE358A01014,26
ABCAPITAL,EQ,66,66.4,64.5,65.15,65.25,66.9,1343959,87753188.45,29-Oct-20,9194,INE674K01013,27
ABFRL,EQ,155,157.95,153.55,154.95,154.6,157.6,1870095,290458004.7,29-Oct-20,18788,INE647O01011,28
ABFRLPP,E1,98,99.95,95.1,96.4,95.85,100,43062,4191925.4,29-Oct-20,764,IN9647O01019,29
ABINFRA,SM,7.7,7.7,7.7,7.7,7.7,8.1,12000,92400,29-Oct-20,3,INE00YB01017,30
ABMINTLTD,BE,24.4,24.4,24.4,24.4,24.4,25.65,71,1732.4,29-Oct-20,8,INE251C01017,31
ABSLBANETF,EQ,242.27,242.27,237.32,238.09,238.09,242.11,690,165284.05,29-Oct-20,19,INF209KB1O58,32
